Species,Period,WoP,Sample,Group,Date,Time,Name,Class,Status Cort,Cort_DW
RT,f,63 ,552,R1,03/24/2014,11:46,Antelope,SF,done,698 
RT,f,63 ,560,R1,03/25/2014,13:34,Antelope,SF,done,903 
RT,f,65 ,604,R1,05/10/2014,09:40,Antelope,SF,done,57 
RT,f,65 ,617,R1,05/13/2014,12:40,Antelope,SF,done,169 
RT,f,66 ,648,R1,06/16/2014,09:31,Antelope,SF,done,187 
RT,f,66 ,660,R1,06/18/2014,11:57,Antelope,SF,done,158 
RT,f,63 ,502,R1,03/16/2014,12:43,Buffalo,AF,done,221 
RT,f,63 ,538,R1,03/22/2014,12:20,Buffalo,AF,done,269 
RT,f,63 ,554,R1,03/24/2014,12:35,Buffalo,AF,done,301 
RT,f,65 ,596,R1,05/07/2014,11:25,Buffalo,AF,done,108 
RT,f,66 ,633,R1,06/13/2014,13:08,Buffalo,AF,done,201 
RT,f,64 ,570,R1,04/12/2014,10:29,Bushbuck,AF,done,119 
RT,f,64 ,580,R1,04/14/2014,11:49,Bushbuck,AF,done,150 
RT,f,66 ,639,R1,06/14/2014,13:05,Bushbuck,AF,done,674 
RT,d,51 ,203,R1,02/12/2013,11:35,Donkey,AF,done,676 
RT,f,64 ,575,R1,04/13/2014,14:22,Donkey,AF,done,122 
RT,f,66 ,631,R1,06/13/2014,11:25,Donkey,AF,done,137 
RT,f,63 ,528,R1,03/21/2014,10:31,Duiker,AF,done,876 
RT,f,64 ,571,R1,04/12/2014,11:43,Duiker,AF,done,85 
RT,f,64 ,579,R1,04/14/2014,10:55,Duiker,AF,done,278 
RT,f,66 ,637,R1,06/14/2014,10:30,Duiker,AF,done,384 
RT,f,63 ,492,R1,03/13/2014,09:55,Elephant,AM,done,"1,184 "
RT,f,63 ,559,R1,03/25/2014,13:20,Elephant,AM,done,173 
RT,f,66 ,638,R1,06/14/2014,11:35,Elephant,AM,done,202 
RT,f,66 ,649,R1,06/16/2014,11:10,Elephant,AM,done,172 
RT,f,66 ,658,R1,06/18/2014,09:20,Giraffe,AF,done,83 
RT,d,50 ,158,R1,01/20/2013,09:15,Hippo,AF,done,491 
RT,f,63 ,519,R1,03/19/2014,12:33,Hippo,AF,done,338 
RT,f,63 ,544,R1,03/23/2014,12:32,Hippo,AF,done,100 
RT,f,65 ,595,R1,05/07/2014,10:15,Hippo,AF,done,213 
RT,f,66 ,632,R1,06/13/2014,12:10,Hippo,AF,done,83 
RT,f,67 ,674,R1,07/12/2014,11:10,Hippo,AF,done,278 
RT,f,63 ,508,R1,03/17/2014,14:01,Horse,AF,done,66 
RT,f,65 ,605,R1,05/10/2014,11:55,Horse,AF,done,163 
RT,f,66 ,659,R1,06/18/2014,11:49,Horse,AF,done,148 
RT,f,63 ,503,R1,03/16/2014,13:20,Hyena,AF,done,203 
RT,f,63 ,512,R1,03/18/2014,12:12,Hyena,AF,done,450 
RT,f,63 ,529,R1,03/21/2014,00:10,Hyena,AF,done,274 
RT,f,64 ,569,R1,04/11/2014,11:15,Hyena,AF,done,103 
RT,f,66 ,630,R1,06/13/2014,09:40,Hyena,AF,done,252 
RT,d,49 ,148,R1,01/07/2013,09:05,Leopard,AF,done,918 
RT,d,50 ,151,R1,01/17/2013,13:20,Leopard,AF,done,953 
RT,f,63 ,520,R1,03/19/2014,13:50,Leopard,AF,done,177 
RT,f,64 ,565,R1,04/09/2014,12:15,Leopard,AF,done,84 
