Species,Group,Period,WoP,WG,Name,Sex,Class,dInfant,Pregnant,Evidence,Comment
RT,R1,d,49,0.1,Antelope,Female,SF,,,,
RT,R1,d,50,0.2,Antelope,Female,SF,,,,
RT,R1,d,51,0.3,Antelope,Female,SF,,,,
RT,R1,d,52,0.4-0.5,Antelope,Female,SF,,,,
RT,R1,d,49,0.1,Buffalo,Female,AF,1,0,dInfant,
RT,R1,d,50,0.2,Buffalo,Female,AF,1,0,dInfant,
RT,R1,d,51,0.3,Buffalo,Female,AF,1,0,dInfant,
RT,R1,d,52,0.4-0.5,Buffalo,Female,AF,1,0,dInfant,
RT,R1,d,49,0.1,Bushbuck,Female,AF,0,,no data,
RT,R1,d,50,0.2,Bushbuck,Female,AF,0,,no data,
RT,R1,d,51,0.3,Bushbuck,Female,AF,0,,no data,
RT,R1,d,52,0.4-0.5,Bushbuck,Female,AF,0,,no data,
RT,R1,d,49,0.1,Donkey,Female,AF,0,1,inferred,
RT,R1,d,50,0.2,Donkey,Female,AF,0,1,inferred,
RT,R1,d,51,0.3,Donkey,Female,AF,0,1,E2 level,
RT,R1,d,52,0.4-0.5,Donkey,Female,AF,0,1,inferred,
RT,R1,d,49,0.1,Duiker,Female,AF,0,,no data,
RT,R1,d,50,0.2,Duiker,Female,AF,0,,no data,
RT,R1,d,51,0.3,Duiker,Female,AF,0,,no data,
RT,R1,d,52,0.4-0.5,Duiker,Female,AF,0,,no data,
RT,R1,d,49,0.1,Elephant,Male,AM,,,,
RT,R1,d,50,0.2,Elephant,Male,AM,,,,
RT,R1,d,51,0.3,Elephant,Male,AM,,,,
RT,R1,d,52,0.4-0.5,Elephant,Male,AM,,,,
RT,R1,d,49,0.1,Fox,Female,JV,,,,
RT,R1,d,50,0.2,Fox,Female,JV,,,,
RT,R1,d,51,0.3,Fox,Female,JV,,,,
RT,R1,d,52,0.4-0.5,Fox,Female,JV,,,,
RT,R1,d,49,0.1,Giraffe,Female,AF,1,0,dInfant,
RT,R1,d,50,0.2,Giraffe,Female,AF,1,0,dInfant,
RT,R1,d,51,0.3,Giraffe,Female,AF,1,0,dInfant,
RT,R1,d,52,0.4-0.5,Giraffe,Female,AF,1,0,dInfant,
RT,R1,d,49,0.1,Hippo,Female,AF,1,0,dInfant,
RT,R1,d,50,0.2,Hippo,Female,AF,1,0,dInfant,
RT,R1,d,51,0.3,Hippo,Female,AF,1,0,dInfant,
RT,R1,d,52,0.4-0.5,Hippo,Female,AF,1,0,dInfant,
RT,R1,d,49,0.1,Horse,Female,AF,0,1,birth,
RT,R1,d,50,0.2,Horse,Female,AF,0,1,birth,
RT,R1,d,51,0.3,Horse,Female,AF,0,1,birth,
RT,R1,d,52,0.4-0.5,Horse,Female,AF,1,0,dInfant,
RT,R1,d,49,0.1,Hyena,Female,AF,0,,no data,
RT,R1,d,50,0.2,Hyena,Female,AF,0,,no data,
RT,R1,d,51,0.3,Hyena,Female,AF,0,,no data,
RT,R1,d,52,0.4-0.5,Hyena,Female,AF,0,,no data,
RT,R1,d,49,0.1,Leopard,Female,AF,0,1,E2 level,
RT,R1,d,50,0.2,Leopard,Female,AF,0,1,E2 level,
RT,R1,d,51,0.3,Leopard,Female,AF,0,,no data,
RT,R1,d,52,0.4-0.5,Leopard,Female,AF,0,,no data,
RT,R1,d,49,0.1,Lion,Male,SM,,,,
RT,R1,d,50,0.2,Lion,Male,SM,,,,
RT,R1,d,51,0.3,Lion,Male,SM,,,,
RT,R1,d,52,0.4-0.5,Lion,Male,SM,,,,
RT,R1,d,49,0.1,Mamba,Female,JV,,,,
RT,R1,d,50,0.2,Mamba,Female,JV,,,,
RT,R1,d,51,0.3,Mamba,Female,JV,,,,
RT,R1,d,52,0.4-0.5,Mamba,Female,JV,,,,
RT,R1,d,49,0.1,Rat,Female,JV,,,,
RT,R1,d,50,0.2,Rat,Female,JV,,,,
RT,R1,d,51,0.3,Rat,Female,JV,,,,
RT,R1,d,52,0.4-0.5,Rat,Female,JV,,,,
RT,R1,d,49,0.1,Rhino,Female,AF,0,,no data,
RT,R1,d,50,0.2,Rhino,Female,AF,0,,no data,
RT,R1,d,51,0.3,Rhino,Female,AF,0,,no data,
RT,R1,d,52,0.4-0.5,Rhino,Female,AF,0,,no data,
RT,R1,d,49,0.1,Tiger,Female,AF,0,,no data,
RT,R1,d,50,0.2,Tiger,Female,AF,0,,no data,
RT,R1,d,51,0.3,Tiger,Female,AF,0,,no data,Tiger mates w/ Elephant
RT,R1,d,52,0.4-0.5,Tiger,Female,AF,0,,no data,
RT,R1,d,49,0.1,Wolf,Male,SM,,,,
RT,R1,d,50,0.2,Wolf,Male,SM,,,,
RT,R1,d,51,0.3,Wolf,Male,SM,,,,
RT,R1,d,52,0.4-0.5,Wolf,Male,SM,,,,
RT,R1,d,49,0.1,Zebra,Female,AF,0,1,inferred,
RT,R1,d,50,0.2,Zebra,Female,AF,0,1,E2 level,
RT,R1,d,51,0.3,Zebra,Female,AF,0,1,P4 levels,
RT,R1,d,52,0.4-0.5,Zebra,Female,AF,0,1,inferred,
RT,R1,f,63,1-2,Antelope,Female,SF,,,,
RT,R1,f,64,3,Antelope,Female,SF,,,,
RT,R1,f,65,4,Antelope,Female,SF,,,,
RT,R1,f,66,5,Antelope,Female,SF,,,,
RT,R1,f,67,6,Antelope,Female,SF,,,,
RT,R1,f,63,1-2,Buffalo,Female,AF,0,0,E2 level,
RT,R1,f,64,3,Buffalo,Female,AF,0,0,E2 level,
RT,R1,f,65,4,Buffalo,Female,AF,0,0,E2 level,
RT,R1,f,66,5,Buffalo,Female,AF,0,0,E2 level,
RT,R1,f,67,6,Buffalo,Female,AF,0,0,E2 level,
RT,R1,f,63,1-2,Bushbuck,Female,AF,0,0,E2 level,
RT,R1,f,64,3,Bushbuck,Female,AF,0,0,E2 level,
RT,R1,f,65,4,Bushbuck,Female,AF,0,0,E2 level,
RT,R1,f,66,5,Bushbuck,Female,AF,0,0,E2 level,
RT,R1,f,67,6,Bushbuck,Female,AF,0,0,E2 level,
RT,R1,f,63,1-2,Donkey,Female,AF,0,0,E2 level,
RT,R1,f,64,3,Donkey,Female,AF,0,0,E2 level,
RT,R1,f,65,4,Donkey,Female,AF,0,0,E2 level,
RT,R1,f,66,5,Donkey,Female,AF,0,0,E2 level,
RT,R1,f,67,6,Donkey,Female,AF,0,0,E2 level,
RT,R1,f,63,1-2,Duiker,Female,AF,0,0,E2 level,
RT,R1,f,64,3,Duiker,Female,AF,0,0,E2 level,
RT,R1,f,65,4,Duiker,Female,AF,0,0,E2 level,
RT,R1,f,66,5,Duiker,Female,AF,0,0,E2 level,
RT,R1,f,67,6,Duiker,Female,AF,0,0,E2 level,
RT,R1,f,63,1-2,Elephant,Male,AM,,,,
RT,R1,f,64,3,Elephant,Male,AM,,,,
RT,R1,f,65,4,Elephant,Male,AM,,,,
RT,R1,f,66,5,Elephant,Male,AM,,,,
RT,R1,f,67,6,Elephant,Male,AM,,,,
RT,R1,f,63,1-2,Fox,Female,JV,,,,
RT,R1,f,64,3,Fox,Female,JV,,,,
RT,R1,f,65,4,Fox,Female,JV,,,,
