Group,Name,WoP,meanUCPsg,nUCPsg
R1,Antelope,63,0.88,2
R1,Antelope,64,0.56,1
R1,Antelope,66,0.99,1
R1,Buffalo,50,0.98,1
R1,Buffalo,63,3.49,1
R1,Buffalo,64,2.10,2
R1,Buffalo,65,0.44,1
R1,Bushbuck,66,0.48,1
R1,Donkey,52,3.03,2
R1,Donkey,63,0.97,1
R1,Donkey,66,1.23,2
R1,Duiker,63,4.31,1
R1,Duiker,65,1.50,1
R1,Duiker,66,0.80,2
R1,Elephant,50,2.19,1
R1,Elephant,51,3.34,1
R1,Elephant,52,0.53,1
R1,Elephant,63,0.95,1
R1,Elephant,64,0.95,1
R1,Elephant,66,0.81,3
R1,Fox,52,1.03,2
R1,Fox,63,0.77,2
R1,Giraffe,50,6.74,1
R1,Giraffe,52,2.25,3
R1,Giraffe,63,3.43,3
R1,Hippo,50,1.57,1
R1,Hippo,52,1.79,2
R1,Hippo,63,0.97,1
R1,Hippo,64,2.15,1
R1,Hippo,66,1.03,2
R1,Horse,52,1.42,1
R1,Horse,63,4.17,2
R1,Hyena,51,0.88,1
R1,Hyena,52,2.92,6
R1,Hyena,65,0.73,1
R1,Hyena,66,1.07,1
R1,Leopard,49,1.95,2
R1,Leopard,51,8.20,2
R1,Leopard,52,1.87,2
R1,Leopard,63,2.10,3
R1,Leopard,65,0.76,1
R1,Leopard,66,0.95,1
R1,Lion,63,0.73,2
R1,Lion,65,0.54,1
R1,Lion,66,0.60,1
R1,Rhino,51,1.18,1
R1,Rhino,52,2.45,2
R1,Rhino,63,1.24,1
R1,Tiger,50,2.49,1
R1,Tiger,51,1.18,1
R1,Tiger,52,1.32,1
R1,Tiger,63,1.07,1
R1,Tiger,64,0.80,1
R1,Tiger,65,0.69,1
R1,Tiger,66,1.06,1
R1,Unknown,51,2.50,2
R1,Unknown,52,20.89,2
R1,Wolf,52,1.45,1
R1,Wolf,63,1.08,1
R1,Wolf,64,0.66,1
R1,Wolf,65,0.61,1
R1,Zebra,49,1.31,1
R1,Zebra,50,20.70,1
R1,Zebra,64,1.54,1
R1,Zebra,65,0.64,1
R1,Zebra,66,0.81,1
R2,Gulu,44,124.28,1
R2,Gulu,45,1.27,3
R2,Gulu,46,60.17,3
R2,Gulu,47,40.06,4
R2,Gulu,48,60.10,3
R2,Gulu,50,19.09,4
R2,Gulu,51,13.88,4
R2,Gulu,53,10.02,3
R2,Gulu,63,2.18,4
R2,Gulu,64,1.00,1
R2,Gulu,65,1.33,2
R2,Gulu,66,0.65,1
R2,Gulu,67,6.39,1
R2,Gulu,68,0.93,5
R2,Gulu,69,0.72,5
R2,Gulu,70,1.66,6
R2,Gulu,71,0.66,2
R2,Hoima,47,71.34,1
R2,Hoima,48,36.72,1
R2,Hoima,50,1.30,1
R2,Hoima,51,1.30,1
R2,Hoima,63,9.50,3
R2,Hoima,64,0.69,1
R2,Hoima,65,2.65,1
R2,Hoima,66,1.05,1
R2,Hoima,68,1.15,4
R2,Hoima,69,4.64,5
R2,Hoima,70,5.67,3
R2,Hoima,71,0.68,2
R2,Jinja,43,2.35,1
R2,Jinja,44,2.13,3
R2,Jinja,45,42.29,3
R2,Jinja,46,14.56,6
R2,Jinja,47,60.82,4
R2,Jinja,48,45.53,4
R2,Jinja,50,27.23,5
R2,Jinja,51,11.05,4
R2,Jinja,52,1.28,1
R2,Jinja,53,16.81,5
R2,Jinja,63,15.88,3
R2,Jinja,64,0.88,2
R2,Jinja,65,0.86,2
R2,Jinja,66,1.08,1
R2,Jinja,67,1.47,2
R2,Jinja,68,7.20,3
R2,Jinja,69,3.31,6
R2,Jinja,70,1.07,6
R2,Jinja,71,0.77,2
R2,Kabarole,44,57.28,2
R2,Kabarole,45,58.81,2
R2,Kabarole,46,24.44,2
R2,Kabarole,47,53.26,3
R2,Kabarole,48,5.11,3
R2,Kabarole,50,10.63,5
R2,Kabarole,51,8.47,5
R2,Kabarole,52,1.47,1
R2,Kabarole,53,8.11,5
R2,Kabarole,63,3.10,3
R2,Kabarole,64,0.65,1
R2,Kabarole,65,0.73,3
R2,Kabarole,66,0.99,1
R2,Kabarole,67,0.80,1
R2,Kabarole,68,11.20,4
R2,Kabarole,69,0.76,5
R2,Kabarole,70,0.82,4
R2,Kabarole,71,0.84,2
R2,Kamwenge,46,43.80,1
R2,Kamwenge,47,24.45,3
R2,Kamwenge,50,1.06,1
R2,Kamwenge,51,2.04,1
R2,Kamwenge,53,8.15,1
R2,Kamwenge,63,1.69,3
R2,Kamwenge,65,0.44,1
R2,Kamwenge,66,0.68,1
R2,Kamwenge,67,0.68,1
R2,Kamwenge,68,6.39,3
R2,Kamwenge,69,10.56,4
R2,Kamwenge,70,2.34,6
R2,Kamwenge,71,1.28,3
R2,Kasese,47,16.77,2
R2,Kasese,48,15.95,3
R2,Kasese,50,0.93,1
R2,Kasese,51,3.64,3
R2,Kasese,52,1.07,1
R2,Kasese,53,7.94,4
R2,Kasese,63,12.73,3
R2,Kasese,64,1.13,2
R2,Kasese,65,0.82,1
R2,Kasese,66,0.73,2
R2,Kasese,67,0.84,1
R2,Kasese,68,9.03,4
R2,Kasese,69,0.97,6
R2,Kasese,70,1.03,6
R2,Kyenjojo,43,37.46,1
R2,Kyenjojo,44,83.71,2
R2,Kyenjojo,45,1.78,2
R2,Kyenjojo,46,34.80,5
R2,Kyenjojo,47,7.83,5
R2,Kyenjojo,48,52.79,2
R2,Kyenjojo,50,18.91,5
R2,Kyenjojo,51,5.17,5
R2,Kyenjojo,52,0.86,1
R2,Kyenjojo,53,13.73,3
R2,Kyenjojo,63,5.11,4
R2,Kyenjojo,64,1.06,1
R2,Kyenjojo,65,0.75,2
R2,Kyenjojo,67,1.04,2
R2,Kyenjojo,68,19.86,5
R2,Kyenjojo,69,7.08,4
R2,Kyenjojo,70,6.19,6
R2,Kyenjojo,71,0.59,2
R2,Mbale,68,29.73,3
R2,Mbale,69,0.92,5
R2,Mbale,70,1.52,6
R2,Mbale,71,0.49,2
R2,Mityana,43,5.34,2
R2,Mpigi,43,0.88,1
R2,Mpigi,44,72.36,2
R2,Mpigi,45,17.68,2
R2,Mpigi,46,63.77,3
R2,Mpigi,47,44.36,4
R2,Mpigi,48,67.14,2
R2,Mpigi,50,13.36,5
R2,Mpigi,51,5.92,6
R2,Mpigi,53,6.74,5
R2,Mpigi,63,12.73,5
R2,Mpigi,64,1.89,1
R2,Mpigi,65,0.81,2
R2,Mpigi,67,0.80,1
R2,Mpigi,68,1.68,5
R2,Mpigi,69,2.33,5
R2,Mpigi,70,1.23,5
R2,Mpigi,71,0.90,2
R2,Mubende,44,1.92,1
R2,Mubende,45,13.22,5
R2,Mubende,46,34.54,2
R2,Mubende,47,30.43,4
R2,Mubende,48,44.84,2
R2,Mubende,50,1.66,2
R2,Mubende,51,6.21,7
R2,Mubende,52,7.23,2
R2,Mubende,53,14.57,5
R2,Mukono,68,33.88,1
R2,Mukono,69,0.66,1
R2,Unknown,46,3.74,1
R2,Unknown,47,51.59,1
R2,Unknown,50,3.54,1
R2,Unknown,51,3.95,1
R2,Unknown,53,1.20,2
R2,Unknown SM,66,0.89,1
R3,Aluminum,44,14.81,1
R3,Aluminum,45,1.60,1
R3,Aluminum,46,1.07,1
R3,Aluminum,47,0.72,3
R3,Aluminum,68,1.54,2
R3,Aluminum,69,2.64,1
R3,Aluminum,70,2.38,1
R3,Argon,47,1.31,1
R3,Argon,69,0.90,3
R3,Argon,70,0.88,2
R3,Argon,71,0.70,1
R3,Calcium,68,1.80,1
R3,Calcium,69,1.00,3
R3,Calcium,70,0.81,1
R3,Calcium,71,0.76,1
R3,Carbon,44,1.65,4
R3,Carbon,45,1.94,3
R3,Carbon,46,3.38,2
R3,Carbon,68,1.12,1
R3,Carbon,69,0.97,3
R3,Carbon,70,0.72,2
R3,Carbon,71,0.56,2
R3,Chlorine,44,37.40,1
R3,Chlorine,47,1.58,1
R3,Chlorine,68,1.72,1
R3,Chlorine,69,0.98,2
R3,Chlorine,70,0.95,2
R3,Chlorine,71,0.99,1
R3,Coal,44,1.37,1
